time,event,p1,p2
15.545064853914205,1,122,424.0
15.54518968138552,10,355,
15.57734711948683,10,349,
15.592128383112913,1,22,134.0
15.595306748287861,3,172,496.0
15.616162051346484,1,110,436.0
15.63310124909239,10,338,
15.63820138723563,1,386,345.0
15.648500089354776,10,225,
15.653083780591945,1,93,115.0
15.674932889411695,1,97,150.0
15.686364822470145,9,78,
15.689797606048794,1,161,355.0
15.69989101065063,2,368,
15.704337505694522,1,395,160.0
15.712649478111793,10,82,
15.715408529826677,1,105,380.0
15.723270213757969,1,90,355.0
15.738237284486543,1,409,392.0
15.759562208145576,2,120,
15.761849512335672,3,475,258.0
15.770249207711965,10,104,
15.796064633889126,1,61,142.0
15.829400675277801,1,52,372.0
15.835006717003854,3,165,312.0
15.838994750123902,10,360,
15.850136107310199,9,233,
15.850760401696698,2,78,
15.853969833514785,1,326,17.0
15.863165570398477,1,467,283.0
15.869680072935259,1,109,481.0
15.87277391697752,1,156,136.0
15.875104846606886,10,384,
15.901285030189449,1,139,426.0
15.908972791104183,2,428,
15.910617438242593,1,3,461.0
15.93874714846403,1,166,427.0
15.939821829982375,10,281,
15.960423366626808,1,55,254.0
15.977379940952819,10,23,
15.980861159007285,1,270,355.0
16.002350706628484,2,360,
16.013470072913428,1,258,366.0
16.033840203143452,10,176,
16.04106084189916,1,49,259.0
16.047162688289404,4,366,120.0
16.055897296927128,2,426,
16.062123971971868,10,49,
16.07090077395669,1,255,278.0
16.077966461841765,2,309,
16.07993186507864,1,29,34.0
16.080632603282705,2,68,
16.081349059447117,1,232,104.0
16.109038298252074,9,111,
16.134416103945707,9,230,
16.137887411495388,6,180,272.0
16.141558683039342,1,405,345.0
16.17752694150262,1,346,23.0
16.194116719587992,1,303,225.0
16.19672586712314,6,406,352.0
16.21313413467366,3,168,7.0
16.216860693998274,1,165,345.0
16.22003596573708,10,263,
16.230377456597807,1,221,285.0
16.231029730742602,1,224,49.0
16.23422392213306,10,316,
16.247398152875334,10,3,
16.262011087631336,9,206,
16.264022428322306,1,129,123.0
16.268697078155764,9,258,
16.282233107287926,10,213,
16.30749288681058,1,466,259.0
16.30923045650141,1,318,366.0
16.32296033125485,1,374,380.0
16.3280642489073,9,103,
16.328573195419423,1,356,380.0
16.346860899443847,3,194,161.0
16.35344949954429,1,407,281.0
16.368903185873723,1,39,341.0
16.376842101421246,1,291,355.0
16.383108154714005,1,218,23.0
16.386216921007396,1,494,278.0
16.388523301094583,1,362,200.0
16.39283663379876,1,187,6.0
16.402804865090513,1,369,151.0
16.426851975042876,1,493,400.0
16.433868753194236,9,261,
16.440841204707542,10,152,
16.462846260926806,9,291,
16.494714083459503,8,350,45.0
16.505430166479833,9,312,
16.506586722655243,1,394,380.0
16.514283357510433,1,488,123.0
16.515571527044592,10,109,
16.542838702716057,1,264,379.0
16.54440059411985,10,314,
16.55111166920971,10,145,
16.555727954676776,10,54,
16.556586985668055,2,85,
16.565432734009946,3,132,402.0
16.56593282465721,10,463,
16.571316195718413,1,247,424.0
16.578904335479518,10,156,
16.584477164460314,1,363,23.0
16.588451834589907,1,413,427.0
16.611446719822858,1,475,258.0
16.615442769428622,1,113,427.0
16.636601127083605,4,432,442.0
16.663795609851864,2,281,
16.67731837712245,10,264,
16.683259102470952,1,227,115.0
16.68698095356381,9,437,
16.704199344212697,4,136,224.0
16.70555957924661,1,471,427.0
16.726958794375868,1,456,316.0
16.73454824629784,1,299,3.0
16.73669149415164,1,21,213.0
16.73781287763641,9,423,
16.738691761225976,1,242,206.0
16.751083519683974,1,47,379.0
16.7634712162708,1,327,64.0
16.78932454425162,1,48,109.0
16.826873448647255,1,226,258.0
16.84217676719976,9,22,
16.859194388518787,1,416,423.0
16.861189793448084,4,291,168.0
16.865049392080582,1,147,233.0
16.865443805056422,1,469,111.0
16.868661604695387,10,93,
16.875429450691488,1,42,192.0
16.894439388088763,2,212,
16.90390536567361,10,55,
16.91164777855754,1,279,291.0
16.919157028340518,1,140,384.0
16.93321048766775,1,76,93.0
16.951262458737197,10,221,
16.956603296070945,3,198,38.0
16.979826826240263,10,329,
16.985194098387836,1,402,264.0
16.992811125771137,3,215,471.0
16.994872270489434,1,482,104.0
17.012229613175048,4,45,489.0
17.01285513860245,10,402,
17.014825096928934,1,168,291.0
17.019506934367854,1,59,379.0
17.02962394289898,1,430,437.0
17.042206091277137,1,222,481.0
17.065592270588425,1,240,402.0
17.09570657281219,1,203,34.0
17.09602321948664,10,232,
17.10200937359505,1,486,345.0
17.103419089019706,2,64,
17.11113905099852,10,165,
17.114901280320165,10,70,
17.143772887460628,10,132,
17.149423537039095,1,487,372.0
17.153000110267367,3,447,464.0
17.163783652123097,3,191,304.0
17.17426747942046,1,237,379.0
17.174576375079432,1,125,264.0
17.183699657361633,9,97,
17.18663124277692,1,72,93.0
